date,name,category,value
2023-06-01,Dear EX (Zwininakele),2023,62557
2023-08-01,Movie,2023,181963
2023-09-01,Movie,2023,295639
2023-10-01,Movie,2023,280171
2023-11-01,Movie,2023,306203
2023-12-01,Mapara - Remix,2023,89204
2023-12-01,Movie,2023,248351
2024-01-01,Mapara - Remix,2024,98861
2024-01-01,Movie,2024,85715
2024-02-01,Mapara - Remix,2024,126968
2024-03-01,Mapara - Remix,2024,66510
2024-04-01,Letswai (feat. Ba Bethe Gashaozen),2024,78206
2024-04-01,Mapara - Remix,2024,70244
2024-05-01,Letswai (feat. Ba Bethe Gashaozen),2024,524625
2024-05-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,612456
2024-06-01,Letswai (feat. Ba Bethe Gashaozen),2024,422663
2024-06-01,Mapara (feat. Babethe Gashoazen),2024,246140
2024-06-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,754342
2024-07-01,Letswai (feat. Ba Bethe Gashaozen),2024,401519
2024-07-01,Mapara (feat. Babethe Gashoazen),2024,384424
2024-07-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,709297
2024-08-01,Letswai (feat. Ba Bethe Gashaozen),2024,365292
2024-08-01,Mapara (feat. Babethe Gashoazen),2024,380785
2024-08-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,872720
2024-09-01,Bafana (feat. Ba Bethe Gashoazen),2024,175747
2024-09-01,Jealous Down (feat. Dr Skaro),2024,516148
2024-09-01,Letswai (feat. Ba Bethe Gashaozen),2024,398062
2024-09-01,Mapara (feat. Babethe Gashoazen),2024,364855
2024-09-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,684096
2024-10-01,Bafana (feat. Ba Bethe Gashoazen),2024,646692
2024-10-01,Jealous Down (feat. Dr Skaro),2024,582905
2024-10-01,Letswai (feat. Ba Bethe Gashaozen),2024,384964
2024-10-01,Mapara (feat. Babethe Gashoazen),2024,87335
2024-10-01,"Number 1 (feat. Iyanya, Prince Benza)",2024,529717
