date,name,category,value
2022-04-01,Kusezo Khanya,2022,104998
2022-05-01,Kusezo Khanya,2022,183621
2022-06-01,Kusezo Khanya,2022,237323
2022-07-01,Kusezo Khanya,2022,193082
2022-08-01,Kusezo Khanya,2022,191173
2022-08-01,Thokoza,2022,38318
2022-09-01,Kusezo Khanya,2022,268123
2022-09-01,Thokoza,2022,250464
2022-10-01,Kusezo Khanya,2022,192533
2022-10-01,Thokoza,2022,229571
2022-11-01,Kusezo Khanya,2022,172210
2022-11-01,Thokoza,2022,279098
2022-12-01,Kusezo Khanya,2022,231228
2022-12-01,Thokoza,2022,514043
2023-01-01,Kusezo Khanya,2023,139108
2023-01-01,Thokoza,2023,292736
2023-02-01,Thokoza,2023,252947
2023-03-01,Thokoza,2023,330064
2023-03-01,iMpumelelo,2023,346140
2023-04-01,Thokoza,2023,265777
2023-04-01,iMpumelelo,2023,551188
2023-05-01,Thokoza,2023,118976
2023-05-01,iMpumelelo,2023,642723
2023-06-01,iMpumelelo,2023,409147
