date,name,category,value
2019-12-01,Zaka,2019,25393
2020-01-01,Mthande,2020,47332
2020-01-01,Zaka,2020,25639
2020-02-01,Mthande,2020,69341
2020-02-01,Zaka,2020,53934
2020-03-01,Mthande,2020,61875
2020-03-01,Zaka,2020,64459
2020-06-01,Zaka,2020,52755
2020-11-01,Emakasana,2020,16239
2020-11-01,Joni,2020,18095
2020-12-01,Bambelela (feat. DJ Maphorisa & Kabza De Small),2020,53661
2021-01-01,Bambelela (feat. DJ Maphorisa & Kabza De Small),2021,51877
2021-09-01,Inhliziyo (feat. Babalwa M),2021,73282
2021-10-01,Inhliziyo (feat. Babalwa M),2021,373784
2021-10-01,"Nguwe (feat. Daliwonga, Sir Trill & Major League)",2021,113802
2021-10-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2021,324322
2021-11-01,Inhliziyo (feat. Babalwa M),2021,317415
2021-11-01,"Nguwe (feat. Daliwonga, Sir Trill & Major League)",2021,118297
2021-11-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2021,374157
2021-12-01,Inhliziyo (feat. Babalwa M),2021,317729
2021-12-01,"Nguwe (feat. Daliwonga, Sir Trill & Major League)",2021,130519
2021-12-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2021,390658
2022-01-01,Inhliziyo (feat. Babalwa M),2022,164151
2022-01-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2022,227841
2022-02-01,Inhliziyo (feat. Babalwa M),2022,133797
2022-02-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2022,185754
2022-03-01,Inhliziyo (feat. Babalwa M),2022,138373
2022-03-01,Mthande,2022,36782
2022-03-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2022,218756
2022-04-01,Inhliziyo (feat. Babalwa M),2022,69497
2022-04-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2022,131593
2022-05-01,Sengizwile (feat. Aymos & Young Stunna),2022,97302
2022-05-01,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",2022,60209
2022-06-01,Sengizwile (feat. Aymos & Young Stunna),2022,263703
2022-07-01,Sengizwile (feat. Aymos & Young Stunna),2022,259452
2022-08-01,Sengizwile (feat. Aymos & Young Stunna),2022,420901
2022-09-01,Sengizwile (feat. Aymos & Young Stunna),2022,680929
2022-10-01,Sengizwile (feat. Aymos & Young Stunna),2022,563093
2022-11-01,Sengizwile (feat. Aymos & Young Stunna),2022,558663
2022-12-01,Sengizwile (feat. Aymos & Young Stunna),2022,896764
2023-01-01,Sengizwile (feat. Aymos & Young Stunna),2023,502414
2023-02-01,Sengizwile (feat. Aymos & Young Stunna),2023,429127
2023-03-01,Sengizwile (feat. Aymos & Young Stunna),2023,628177
2023-04-01,"Ama Wishi Wishi (feat. Aymos, Leon Lee & Howard Gomba)",2023,47555
2023-04-01,Ekhaya (feat. Aymos & Kelvin Momo),2023,50491
2023-04-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,276800
2023-04-01,Nini Nannini (feat. Daliwonga & Howard Gomba),2023,105493
2023-04-01,Sengizwile (feat. Aymos & Young Stunna),2023,519820
2023-05-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,612618
2023-05-01,Nini Nannini (feat. Daliwonga & Howard Gomba),2023,242534
2023-05-01,Sengizwile (feat. Aymos & Young Stunna),2023,456437
2023-06-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,1369704
2023-06-01,Sengizwile (feat. Aymos & Young Stunna),2023,455403
2023-07-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,1246830
2023-07-01,Sengizwile (feat. Aymos & Young Stunna),2023,411510
2023-08-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,1388253
2023-08-01,Sengizwile (feat. Aymos & Young Stunna),2023,533836
2023-09-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,926892
2023-09-01,Sengizwile (feat. Aymos & Young Stunna),2023,342857
2023-10-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,725857
2023-10-01,Sengizwile (feat. Aymos & Young Stunna),2023,275311
2023-11-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,565652
2023-11-01,Sengizwile (feat. Aymos & Young Stunna),2023,274257
2023-12-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2023,604011
2023-12-01,Sengizwile (feat. Aymos & Young Stunna),2023,361607
2024-01-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2024,391253
2024-01-01,Sengizwile (feat. Aymos & Young Stunna),2024,92175
2024-02-01,Gangnam Style (feat. DJ Maphorisa & Kabza De Small),2024,249546
2024-02-01,Sengizwile (feat. Aymos & Young Stunna),2024,133189
