date,name,category,value
2021-12-01,Dali Nguwe,2021,88249
2022-01-01,Dali Nguwe,2022,399248
2022-02-01,Dali Nguwe,2022,526499
2022-03-01,Dali Nguwe,2022,698650
2022-04-01,Dali Nguwe,2022,457804
2022-05-01,Dali Nguwe,2022,374482
2022-05-01,Sofa Silahlane,2022,315560
2022-06-01,Dali Nguwe,2022,402545
2022-06-01,Sofa Silahlane,2022,722801
2022-07-01,Dali Nguwe,2022,251067
2022-07-01,Sofa Silahlane,2022,441563
2022-08-01,Dali Nguwe,2022,213597
2022-08-01,Sofa Silahlane,2022,388868
2022-09-01,Dali Nguwe,2022,51924
2022-09-01,Sofa Silahlane,2022,91887
