date,name,category,value
2020-09-01,Nonna,2020,15474
2020-10-01,Nonna,2020,32070
2020-11-01,Nonna,2020,31943
2020-12-01,Nonna,2020,66204
2021-01-01,Nonna,2021,32564
2021-05-01,Dina,2021,21201
2021-05-01,Hier Sal Jy Boer,2021,18858
2021-06-01,Dina,2021,99975
2021-07-01,Boerenooi,2021,19942
2021-07-01,Dina,2021,118087
2021-08-01,Boerenooi,2021,23229
2021-08-01,Dina,2021,97619
2021-09-01,Boerenooi,2021,24284
2021-09-01,Dina,2021,131369
2021-10-01,Boerenooi,2021,21835
2021-10-01,Dina,2021,74841
2022-01-01,Dina,2022,23881
2023-05-01,Foute,2023,56749
2023-06-01,Foute,2023,238156
2023-07-01,Foute,2023,197833
2023-08-01,Foute,2023,269472
2023-09-01,Foute,2023,229681
2023-10-01,Foute,2023,177430
2023-11-01,Foute,2023,173333
2023-12-01,Buffel Van Buffelsfontein,2023,64619
2023-12-01,Foute,2023,326918
2024-01-01,Foute,2024,292676
2024-02-01,Foute,2024,65038
