date,name,category,value
2020-12-01,Mali Eningi,2020,413003
2020-12-01,Vuma Dlozi,2020,50258
2021-01-01,Mali Eningi,2021,132800
2021-02-01,Mali Eningi,2021,97831
2021-03-01,Mali Eningi,2021,64143
2021-04-01,Mali Eningi,2021,19215
2021-09-01,Umuzi eSandton,2021,117337
2021-10-01,Umuzi eSandton,2021,47374
2022-03-01,Ivolovolo,2022,95230
2022-04-01,Ivolovolo,2022,129096
2022-05-01,Ivolovolo,2022,151784
2022-06-01,Ivolovolo,2022,177489
2022-07-01,Ivolovolo,2022,126625
2022-07-01,Voicemail,2022,141182
2022-08-01,Ivolovolo,2022,120029
2022-08-01,Voicemail,2022,312451
2022-09-01,Ivolovolo,2022,60238
2022-09-01,Umuzi eSandton,2022,31624
2022-09-01,Voicemail,2022,373120
2022-10-01,Ivolovolo,2022,31747
2022-10-01,Voicemail,2022,250088
2022-11-01,Voicemail,2022,240664
2022-12-01,Voicemail,2022,304246
2023-01-01,Voicemail,2023,203917
2023-02-01,Voicemail,2023,230604
2023-03-01,Voicemail,2023,285811
2023-04-01,Voicemail,2023,241679
2023-05-01,Voicemail,2023,205534
2023-06-01,Voicemail,2023,48151
