date,name,category,value
2021-07-01,Dream About You,2021,19842
2021-08-01,Dream About You,2021,21028
2021-09-01,Dream About You,2021,76158
2021-09-01,Seasons,2021,82960
2021-10-01,Dream About You,2021,22095
2021-10-01,Seasons,2021,48389
2021-11-01,Dream About You,2021,24048
2021-11-01,Seasons,2021,101429
2021-12-01,Seasons,2021,103128
2022-01-01,Dream About You,2022,79143
2022-01-01,Seasons,2022,133255
2022-02-01,Dream About You,2022,24278
2022-02-01,Seasons,2022,128366
2022-03-01,Dream About You,2022,77018
2022-03-01,Seasons,2022,169531
2022-04-01,Dream About You,2022,105652
2022-04-01,Seasons,2022,140691
2022-04-01,Speak,2022,132487
2022-05-01,Dream About You,2022,106652
2022-05-01,Seasons,2022,144371
2022-05-01,Speak,2022,106099
2022-06-01,Seasons,2022,155181
2022-07-01,Seasons,2022,122047
2022-08-01,Dream About You,2022,98659
2022-08-01,Seasons,2022,151742
2022-08-01,Speak,2022,61432
2022-09-01,Dream About You,2022,156079
2022-09-01,Seasons,2022,182674
2022-09-01,Speak,2022,32476
2022-10-01,Dream About You,2022,127798
2022-10-01,Seasons,2022,93909
2022-11-01,Dream About You,2022,153687
2022-11-01,Seasons,2022,146646
2022-11-01,What I Would Say,2022,195857
2022-12-01,Dream About You,2022,194607
2022-12-01,Let Me Love You Now,2022,40403
2022-12-01,Seasons,2022,110769
2023-01-01,Dream About You,2023,157679
2023-01-01,Seasons,2023,139493
2023-02-01,Dream About You,2023,178620
2023-02-01,Seasons,2023,165241
2023-03-01,Dream About You,2023,326311
2023-03-01,Seasons,2023,268274
2023-04-01,Dream About You,2023,277150
2023-04-01,Give A Little Kindness,2023,59705
2023-04-01,Let Me Love You Now,2023,46924
2023-04-01,Seasons,2023,213183
2023-04-01,What I Would Say,2023,44916
2023-05-01,Dream About You,2023,314730
2023-05-01,Seasons,2023,220467
2023-06-01,Dream About You,2023,325696
2023-06-01,Seasons,2023,244844
2023-07-01,Dream About You,2023,284470
2023-07-01,Seasons,2023,210490
2023-08-01,Dream About You,2023,379398
2023-08-01,Seasons,2023,300289
2023-09-01,Dream About You,2023,249338
2023-09-01,Seasons,2023,272058
2023-09-01,You're So You,2023,281852
2023-10-01,Dream About You,2023,169498
2023-10-01,Seasons,2023,169347
2023-10-01,You're So You,2023,55287
2024-02-01,Seasons,2024,65530
2024-03-01,Seasons,2024,137778
