date,name,category,value
2021-11-01,Phakade Lami,2021,154856
2021-12-01,Phakade Lami,2021,404128
2022-01-01,Phakade Lami,2022,302821
2022-02-01,Phakade Lami,2022,299518
2022-03-01,Phakade Lami,2022,346849
2022-04-01,Ngam'khetha,2022,95039
2022-04-01,Phakade Lami,2022,231140
2022-04-01,Soft Life,2022,100010
2022-05-01,Ngam'khetha,2022,115831
2022-05-01,Phakade Lami,2022,217383
2022-05-01,Soft Life,2022,177924
2022-06-01,Ngam'khetha,2022,85376
2022-06-01,Phakade Lami,2022,291190
2022-06-01,Soft Life,2022,300224
2022-07-01,Phakade Lami,2022,252316
2022-07-01,Soft Life,2022,202243
2022-08-01,Phakade Lami,2022,232530
2022-08-01,Sibaningi,2022,31395
2022-08-01,Soft Life,2022,183324
2022-09-01,Phakade Lami,2022,269163
2022-09-01,Soft Life,2022,212253
2022-10-01,Phakade Lami,2022,177542
2022-10-01,Soft Life,2022,175569
2022-11-01,Phakade Lami,2022,174676
2022-11-01,Soft Life,2022,186396
2022-12-01,Phakade Lami,2022,246474
2022-12-01,Soft Life,2022,235448
2023-01-01,Phakade Lami,2023,164696
2023-01-01,Soft Life,2023,115310
2023-02-01,Phakade Lami,2023,40413
2023-02-01,Soft Life,2023,155105
2023-03-01,Phakade Lami,2023,186850
2023-03-01,Soft Life,2023,86814
2023-04-01,Phakade Lami,2023,135126
2023-05-01,Phakade Lami,2023,46199
2023-05-01,Uthando Lunye,2023,50217
