date,name,category,value
2018-12-01,Umshove,2018,7192
2019-01-01,Umshove,2019,6443
2019-10-01,Alalahi,2019,31835
2019-10-01,Nana Thula,2019,63317
2019-11-01,Alalahi,2019,51271
2019-11-01,Nana Thula,2019,116434
2019-12-01,Abuyile Amakhosi,2019,10024
2019-12-01,Alalahi,2019,70391
2019-12-01,Indaba Ka Bani,2019,10792
2019-12-01,Lorch,2019,149810
2019-12-01,Nana Thula,2019,157672
2019-12-01,Qoqoqo,2019,76891
2019-12-01,Sandton,2019,60315
2020-01-01,Alalahi,2020,27888
2020-01-01,Indaba Ka Bani,2020,10760
2020-01-01,Lorch,2020,213661
2020-01-01,Nana Thula,2020,134390
2020-01-01,Phoyisa (Live),2020,78271
2020-01-01,Qoqoqo,2020,93446
2020-01-01,Sandton,2020,138474
2020-02-01,Hello (Live),2020,43276
2020-02-01,Lorch,2020,136686
2020-02-01,Malobola (Live),2020,12583
2020-02-01,Nana Thula,2020,97707
2020-02-01,Phoyisa (Live),2020,121805
2020-02-01,Qoqoqo,2020,70547
2020-02-01,Sandton,2020,119363
2020-02-01,eMcimbini (Live),2020,205538
2020-03-01,Hello (Live),2020,75433
2020-03-01,Lorch,2020,122546
2020-03-01,Nana Thula,2020,79108
2020-03-01,Phoyisa (Live),2020,92942
2020-03-01,Qoqoqo,2020,57244
2020-03-01,Sandton,2020,105203
2020-03-01,eMcimbini (Live),2020,240008
2020-04-01,Hello (Live),2020,81573
2020-04-01,Lorch,2020,77283
2020-04-01,Nana Thula,2020,58347
2020-04-01,Phoyisa (Live),2020,24725
2020-04-01,Sandton,2020,72992
2020-04-01,eMcimbini (Live),2020,157396
2020-05-01,Hello (Live),2020,61825
2020-05-01,Indaba Ka Bani,2020,25213
2020-05-01,Lorch,2020,59507
2020-05-01,Sandton,2020,37543
2020-05-01,eMcimbini (Live),2020,100943
2020-06-01,Hello (Live),2020,62568
2020-06-01,Indaba Ka Bani,2020,51595
2020-06-01,Lorch,2020,60398
2020-06-01,Nana Thula,2020,38146
2020-06-01,Sandton,2020,52684
2020-06-01,eMcimbini (Live),2020,101005
2020-07-01,Buyile,2020,96380
2020-07-01,Duze,2020,15388
2020-07-01,Hello (Live),2020,16555
2020-07-01,Impilo,2020,13679
2020-07-01,Indaba Ka Bani,2020,27652
2020-07-01,Lorch,2020,29215
2020-07-01,Masupa,2020,96461
2020-07-01,Nana Thula,2020,13869
2020-07-01,Ndofaya,2020,13110
2020-07-01,Need You Tonight,2020,15508
2020-07-01,Nia Lo,2020,36638
2020-07-01,Qula,2020,15012
2020-07-01,Sandton,2020,27361
2020-07-01,Sponono,2020,149357
2020-07-01,Sthandwa,2020,35026
2020-07-01,Thinking About You,2020,20035
2020-07-01,Wena,2020,17676
2020-07-01,Why Ngikufela,2020,32102
2020-07-01,eMcimbini (Live),2020,63143
2020-07-01,iLog Drum,2020,94898
2020-07-01,iPiano,2020,14283
2020-08-01,Buyile,2020,59077
2020-08-01,Masupa,2020,90455
2020-08-01,Nia Lo,2020,14412
2020-08-01,Sponono,2020,93818
2020-08-01,eMcimbini (Live),2020,84233
2020-08-01,iLog Drum,2020,69171
2020-09-01,Masupa,2020,92719
2020-09-01,Nia Lo,2020,30512
2020-09-01,Sponono,2020,107845
2020-09-01,eMcimbini (Live),2020,106302
2020-09-01,iLog Drum,2020,76736
2020-10-01,Masupa,2020,97539
2020-10-01,Nia Lo,2020,111462
2020-10-01,Sponono,2020,119997
2020-10-01,eMcimbini (Live),2020,95855
2020-10-01,iLog Drum,2020,68026
2020-11-01,Masupa,2020,16434
2020-11-01,Nia Lo,2020,87004
2020-11-01,Sponono,2020,72218
2020-11-01,eMcimbini (Live),2020,16035
2020-12-01,Masupa,2020,18413
2020-12-01,Nia Lo,2020,118372
2020-12-01,Sponono,2020,113453
2020-12-01,eMcimbini (Live),2020,105411
2021-01-01,Nia Lo,2021,16450
2021-04-01,Folasade,2021,89790
2021-08-01,Uzozisola,2021,158719
2021-09-01,Abalele,2021,511806
2021-10-01,Abalele,2021,812945
2021-11-01,Abalele,2021,783689
2021-11-01,Asibe Happy,2021,385980
2021-12-01,Abalele,2021,826163
2021-12-01,Asibe Happy,2021,976448
2021-12-01,Break,2021,70307
2021-12-01,Ketang (feat. Kopzz Avenue),2021,93052
2022-01-01,Abalele,2022,478640
2022-01-01,Asibe Happy,2022,566042
2022-01-01,Break,2022,24260
2022-02-01,Abalele,2022,362335
2022-02-01,Asibe Happy,2022,440968
2022-03-01,Abalele,2022,422797
2022-03-01,Asibe Happy,2022,476752
2022-04-01,Abalele,2022,273103
2022-04-01,Asibe Happy,2022,301912
2022-04-01,Ebusuku (feat. Nkosazana Daughter),2022,51626
2022-04-01,Kabza (feat. Murumba Pitch),2022,29834
2022-04-01,"Ziwa Ngale (feat. DJ Tira, Young Stunna, Dladla Mshunqisi, Felo Le Tee, Beast & Dj Exit_sa)",2022,57749
2022-05-01,Abalele,2022,246687
2022-05-01,Asibe Happy,2022,266380
2022-05-01,Ebusuku (feat. Nkosazana Daughter),2022,199523
2022-05-01,"Ziwa Ngale (feat. DJ Tira, Young Stunna, Dladla Mshunqisi, Felo Le Tee, Beast & Dj Exit_sa)",2022,202334
2022-06-01,Abalele,2022,252728
2022-06-01,Asibe Happy,2022,269334
2022-06-01,Azkhale (feat. Daliwonga),2022,71499
2022-06-01,Bathini (feat. Young Stunna & Artwork Sounds),2022,169636
2022-06-01,Bawo (feat. Nobuhle & Yallunder),2022,31536
2022-06-01,Bayasaba (feat. Daliwonga & Young Stunna),2022,78223
