rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
171,spotify:track:4tHqQMWSqmL6YjXwsqthDI,"Mykola Dmytrovych Leontovych, John Williams",Carol of the Bells,Masterworks,171,-1,1,3123441,2016-12-29
172,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,172,-1,1,3118035,2016-12-29
173,spotify:track:4qBejt9FeqLI9blHI1Nq1x,"Michael Bublé, The Puppini Sisters",Jingle Bells (feat. The Puppini Sisters),143/Reprise,173,-1,1,3094942,2016-12-29
174,spotify:track:2FBUoWkIuQXwayw2RNo5l6,Drake,Hotline Bling,Cash Money Records/Young Money Ent./Universal Rec.,174,-1,1,3088142,2016-12-29
175,spotify:track:0gb1J5UrTpzaU1s3nupgCd,Galantis,No Money,Big Beat Records,175,-1,1,3085962,2016-12-29
176,spotify:track:6YnzBV7YkaXZNCK3tlnCfg,Boney M.,Mary's Boy Child / Oh My Lord,MCI,176,-1,1,3052833,2016-12-29
177,spotify:track:2ANLarE8yHVsLWW21nj79M,Lil Uzi Vert,You Was Right,Generation Now/Atlantic,177,-1,1,3052662,2016-12-29
178,spotify:track:3dQDid3IUNhZy1OehIfYfE,Wisin,Vacaciones,Sony Music Latin,178,-1,1,3051423,2016-12-29
179,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,179,-1,1,3045375,2016-12-29
180,spotify:track:25khomWgBVamSdKw7hzm3l,The Weeknd,The Hills,Universal Republic Records,180,-1,1,3039017,2016-12-29
181,spotify:track:7of1slAJIWrXxP8ikAHxje,James Hersey,Miss You,Glassnote Entertainment Group LLC,181,-1,1,3028820,2016-12-29
182,spotify:track:27GmP9AWRs744SzKcpJsTZ,"Drake, Future",Jumpman,Cash Money Records Inc.,182,-1,1,3019544,2016-12-29
183,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,"G-Eazy, Marc E. Bassy",Some Kind Of Drug (feat. Marc E. Bassy),BPG/RVG/RCA Records,183,-1,1,3005489,2016-12-29
184,spotify:track:7zTx8ePYAmPFQuxP3xlXZn,San Holo,Light,Columbia,184,-1,1,3004050,2016-12-29
185,spotify:track:7aiVBCp1ibIWE5GeHkbtxr,Britney Spears,My Only Wish (This Year),Arista,185,-1,1,2982674,2016-12-29
186,spotify:track:2EEeOnHehOozLq4aS0n6SL,"KYLE, Lil Yachty",iSpy (feat. Lil Yachty),independently popular.,186,-1,1,2979074,2016-12-29
187,spotify:track:0xPaZrF25ltzvz1a2Pm5DQ,Michael Bublé,All I Want for Christmas Is You,143/Reprise,187,-1,1,2978819,2016-12-29
188,spotify:track:4fzyvSu73BhGvi96p2zwjL,Coldplay,Christmas Lights,Parlophone UK,188,-1,1,2974733,2016-12-29
189,spotify:track:5hEM0JchdVzQ5PwvSfITeX,"Piso 21, Maluma",Me llamas (feat. Maluma) - Remix,WM Mexico,189,-1,1,2974609,2016-12-29
190,spotify:track:1AkTW13ysu0AJrwuM6UY0I,"Charly Black, Daddy Yankee",Gyal You a Party Animal - Remix,Allezgo Productions,190,-1,1,2962885,2016-12-29
191,spotify:track:3DX4Y0egvc0slLcLl31h2p,The Weeknd,Secrets,Universal Republic Records,191,-1,1,2956670,2016-12-29
192,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,George Michael,Faith - Remastered,Epic,192,-1,1,2934931,2016-12-29
193,spotify:track:0lmdsH1MIoLsMymnNpd6HU,"Cheat Codes, Dante Klein",Let Me Hold You (Turn Me On),Spinnin' Records,193,-1,1,2925768,2016-12-29
194,spotify:track:7EiZI6JVHllARrX9PUvAdX,"Future, The Weeknd",Low Life (feat. The Weeknd),Epic/Freebandz/A1,194,-1,1,2916084,2016-12-29
195,spotify:track:78sr3ogs4UzITcCNbXM9cM,"Future, Drake",Used to This (feat. Drake),Epic/Freebandz/A1,195,-1,1,2901747,2016-12-29
196,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,Roc Nation Records LLC,196,-1,1,2900495,2016-12-29
197,spotify:track:6mapJIPnQ23RTAevUoE0DL,Rae Sremmurd,Swang,Mike WiLL Made-It,197,-1,1,2900455,2016-12-29
198,spotify:track:26hcyzSE154xMZCbFdtInA,"KREAM, Clara Mae",Taped Up Heart (feat. Clara Mae),Big Beat Records,198,-1,1,2871891,2016-12-29
199,spotify:track:4QdovcM8j50QPlyR7tH4xe,"Marc E. Bassy, G-Eazy",You & Me,Republic Records/Gee Roberson,199,-1,1,2853532,2016-12-29
200,spotify:track:3RiPr603aXAoi4GHyXx0uy,Coldplay,Hymn for the Weekend,Parlophone UK,200,-1,1,2847836,2016-12-29
