rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
19,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,8,10,7,20522211,2022-12-08
20,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,6,11,20,20065711,2022-12-08
21,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,15,87,19922110,2022-12-08
22,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,18,8,19535566,2022-12-08
23,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,Columbia/Legacy,8,42,32,19341895,2022-12-08
24,spotify:track:4WuOWVnAqvEQxgSRrspBgt,"Metro Boomin, Travis Scott, 21 Savage",Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Republic Records,24,-1,1,18897084,2022-12-08
25,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,25,25,43,18861162,2022-12-08
26,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,7,17,27,18637759,2022-12-08
27,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,11,45,22,18006457,2022-12-08
28,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,11,16,9,17964631,2022-12-08
29,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,10,22,22,17741788,2022-12-08
30,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,6,27,31,17666566,2022-12-08
31,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,31,179,2,17615894,2022-12-08
32,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,5,23,19,17360068,2022-12-08
33,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,33,-1,1,17037306,2022-12-08
34,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3,31,31,16940401,2022-12-08
35,spotify:track:5p8ThxM2OhJ0igfxkz0Z1q,"RM, Youjeen",Wild Flower (with youjeen),BIGHIT MUSIC,35,-1,1,16889075,2022-12-08
36,spotify:track:1RDvyOk4WtPCtoqciJwVn8,"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,14,14,3,16800033,2022-12-08
37,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,24,24,8,16755943,2022-12-08
38,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,RCA Records Label,9,57,24,16642754,2022-12-08
39,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,RCA Records Label,14,56,26,16626089,2022-12-08
40,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,27,28,22,16439311,2022-12-08
41,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,23,26,15,16409864,2022-12-08
42,spotify:track:1pacwLXyRO47ka0v6LTIiY,"Metro Boomin, Travis Scott",Raindrops (Insane) [with Travis Scott],Republic Records,42,-1,1,16318297,2022-12-08
43,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,33,119,16005273,2022-12-08
44,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,12,60,23,15621268,2022-12-08
45,spotify:track:6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,143/Reprise,21,63,28,15524826,2022-12-08
46,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,30,32,15,15274630,2022-12-08
47,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,17,29,14,15241768,2022-12-08
48,spotify:track:2Yt4SXIgmoaPZHGdRafp4P,"Metro Boomin, 21 Savage, Young Nudy",Umbrella (with 21 Savage & Young Nudy),Republic Records,48,-1,1,15170152,2022-12-08
49,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,41,102,14947391,2022-12-08
50,spotify:track:4ewazQLXFTDC8XvCbhvtXs,Joji,Glimpse of Us,88rising Music/Warner Records,1,38,26,14572759,2022-12-08
51,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,49,49,6,14534007,2022-12-08
52,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,34,16,14499025,2022-12-08
53,spotify:track:76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Columbia,16,35,22,14494791,2022-12-08
54,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,RBMG/Def Jam,15,78,31,14143772,2022-12-08
55,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,44,74,13974687,2022-12-08
56,spotify:track:5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,56,136,2,13872060,2022-12-08
57,spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Rimas Entertainment LLC,15,48,31,13795213,2022-12-08
58,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,38,43,16,13736149,2022-12-08
59,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,Legacy Recordings,16,96,23,13538987,2022-12-08
60,spotify:track:6G12ZafqofSq7YtrMqUm76,"Shakira, Ozuna",Monotonía,Sony Music Latin,21,37,7,13498930,2022-12-08
61,spotify:track:0YFqKxV9uNu6LUeYkLOKRS,"Metro Boomin, John Legend",On Time (with John Legend),Republic Records,61,-1,1,13393663,2022-12-08
62,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,26,46,39,13323413,2022-12-08
63,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,12,137,124,13304887,2022-12-08
64,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,53,31,13160009,2022-12-08
65,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),Republic Records,65,-1,1,13142559,2022-12-08
66,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,20,40,31,13007890,2022-12-08
67,spotify:track:1418IuVKQPTYqt7QNJ9RXN,King,Maan Meri Jaan,Warner Music India,55,55,3,12805605,2022-12-08
68,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,36,7,12554603,2022-12-08
69,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,39,7,12352440,2022-12-08
70,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,65,114,12332715,2022-12-08
71,spotify:track:2TE4xW3ImvpltVU0cPcKUn,Shakin' Stevens,Merry Christmas Everyone,Sony Music CG,34,103,25,12301497,2022-12-08
72,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,59,158,12267545,2022-12-08
73,spotify:track:2VtgzixdB967bHDNu5A1nh,"Metro Boomin, Young Thug",Metro Spider (with Young Thug),Republic Records,73,-1,1,12133395,2022-12-08
74,spotify:track:221qmpQeBNV87sUjQeUTVH,"Metro Boomin, Don Toliver",Around Me (feat. Don Toliver),Republic Records,74,-1,1,12099572,2022-12-08
75,spotify:track:33cF8aTmGJ6TsEf23uqGIN,"Rauw Alejandro, Lyanno, Brray",LOKERA,Sony Music Latin/Duars Entertainment,38,52,17,11951546,2022-12-08
76,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,50,50,7,11859691,2022-12-08
77,spotify:track:77khP2fIVhSW23NwxrRluh,Burl Ives,A Holly Jolly Christmas,Geffen,37,102,24,11707559,2022-12-08
78,spotify:track:27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,EMI Catalogue,13,148,26,11612872,2022-12-08
79,spotify:track:1UsQe17Ef7tV1ahFqHEFR3,"Metro Boomin, 21 Savage, Mustafa",Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Republic Records,79,-1,1,11552254,2022-12-08
80,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,70,69,11436721,2022-12-08
81,spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,7,77,25,11345394,2022-12-08
82,spotify:track:4Yg2w0P29BBBMixyeNjDtj,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,12,159,28,11188160,2022-12-08
83,spotify:track:27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster,Rhino,21,128,25,11175975,2022-12-08
84,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17,80,27,11118895,2022-12-08
85,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,34,76,69,11081960,2022-12-08
86,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,86,-1,1,11072549,2022-12-08
87,spotify:track:58cEG7FsVoipRiRKUMgOjo,"Rauw Alejandro, Baby Rasta",PUNTO 40,Sony Music Latin/Duars Entertainment,48,66,9,11030703,2022-12-08
88,spotify:track:7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,UMLE - Latino,6,79,33,11003935,2022-12-08
89,spotify:track:0oBtwScT4B4BR5kZitNWd5,Quevedo,PUNTO G,Quevedo,84,84,5,10898953,2022-12-08
90,spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,7,54,24,10880259,2022-12-08
91,spotify:track:6sCvvleqKbeyOkQDieBYgp,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Roc Nation/Def Jam/Hollywood,11,47,6,10804088,2022-12-08
92,spotify:track:2N9LEu6Pf8nDcp3GjWJT1Z,"Metro Boomin, Future, Don Toliver",I Can't Save You (Interlude) [with Future & feat. Don Toliver],Republic Records,92,-1,1,10649362,2022-12-08
93,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,Nat King Cole,The Christmas Song (Merry Christmas To You),CAPITOL CATALOG MKT (C92),30,163,25,10643871,2022-12-08
94,spotify:track:4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Columbia/Legacy,19,164,28,10631822,2022-12-08
95,spotify:track:1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney Catalog,15,147,27,10603273,2022-12-08
96,spotify:track:4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas,Geffen,26,144,26,10509933,2022-12-08
97,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,73,29,10503850,2022-12-08
98,spotify:track:0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,66,67,14,10402985,2022-12-08
99,spotify:track:6TsVhM8qIkWN5cJVDIVbbz,"Wisin & Yandel, ROSALÍA",Besos Moja2,Sony Music Latin,64,72,10,10393306,2022-12-08
100,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,43,82,49,10379021,2022-12-08
101,spotify:track:26hOm7dTtBi0TdpDGl141t,Joji,Die For You,88rising Music/Warner Records,21,51,5,10348838,2022-12-08
102,spotify:track:6WbAhuwE6fCOriBu5786X1,"KAROL G, Ovy On The Drums",CAIRO,UMLE - Latino,75,75,3,10333590,2022-12-08
103,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,1,71,12,10203750,2022-12-08
104,spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,No Se Va - En Vivo,Grupo Frontera,36,74,11,10179388,2022-12-08
105,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,88,105,10140208,2022-12-08
106,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,95,59,9971366,2022-12-08
107,spotify:track:3SsJ17EnPIu1B4GZshqjIS,"Metro Boomin, A$AP Rocky, Takeoff",Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Republic Records,107,-1,1,9912090,2022-12-08
108,spotify:track:1597vvneWf0zoQrg2D8yH6,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR",Evoque Prata,GUETTO RECORDS,69,81,4,9741120,2022-12-08
109,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,Quevedo,VISTA AL MAR,Quevedo,45,83,13,9740313,2022-12-08
110,spotify:track:34ZAzO78a5DAVNrYIGWcPm,SZA,Shirt,Top Dawg Entertainment/RCA Records,25,90,6,9545696,2022-12-08
111,spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,99,58,9522204,2022-12-08
112,spotify:track:4fsQ0K37TOXa3hEQfjEic1,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,80,86,7,9482161,2022-12-08
113,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,3,64,7,9471541,2022-12-08
114,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,5,62,7,9428338,2022-12-08
115,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,31,91,63,9410109,2022-12-08
116,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,85,93,17,9319338,2022-12-08
117,spotify:track:2pXpURmn6zC5ZYDMms6fwa,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),RCA Records Label,51,189,22,9306745,2022-12-08
118,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,58,7,9272935,2022-12-08
119,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,YG Entertainment/Interscope Records,2,87,16,9258782,2022-12-08
120,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,10,98,27,9233069,2022-12-08
121,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,89,242,9232214,2022-12-08
122,spotify:track:47ohYW8e7dxCYn9qbUMBCI,Darlene Love,Christmas (Baby Please Come Home),Legacy Recordings,50,-1,13,9206573,2022-12-08
123,spotify:track:7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",8123 / Arista Records,58,101,17,9204283,2022-12-08
124,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,11,68,7,9050019,2022-12-08
125,spotify:track:38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Columbia,22,85,11,9035330,2022-12-08
126,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,56,94,103,9023313,2022-12-08
127,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,106,28,9010598,2022-12-08
128,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,76,115,72,9002627,2022-12-08
129,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,11,112,64,8996364,2022-12-08
130,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17,104,94,8953603,2022-12-08
131,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,Three Quarter,66,100,70,8930963,2022-12-08
132,spotify:track:0OoNzMdPSgbkM5MkcuEZfm,"Metro Boomin, Travis Scott, Future",Lock On Me (with Travis Scott & Future),Republic Records,132,-1,1,8900466,2022-12-08
133,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,PTKF,89,109,22,8885166,2022-12-08
134,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,69,7,8827031,2022-12-08
135,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,15,108,20,8825922,2022-12-08
136,spotify:track:41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhayco",Tarot,Rimas Entertainment LLC,9,119,31,8816696,2022-12-08
137,spotify:track:0aoUM0zcu0kCX7Cv7O939I,"Ed Sheeran, Elton John",Merry Christmas,Atlantic Records UK,23,-1,5,8771871,2022-12-08
138,spotify:track:25Jf61edvM78rQHYaWRiIL,Bellakath,Gatita,La Mafia del Perreo,138,145,2,8760445,2022-12-08
139,spotify:track:4OH5Cd8ZOI1eSgJSC9PYmU,"Mert Demir, Mabel Matiz",Antidepresan,Pale Records,139,-1,1,8672212,2022-12-08
140,spotify:track:7yBEKiv1LmO7GM4rOejhcW,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),110,110,4,8663074,2022-12-08
141,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,14,97,17,8633779,2022-12-08
142,spotify:track:4a1fh9vJMMoRjNrBmEWoM0,"Metro Boomin, Gunna",All The Money (with Gunna) [Bonus],Republic Records,142,-1,1,8588935,2022-12-08
143,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,116,116,10,8508937,2022-12-08
144,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,11,120,50,8497007,2022-12-08
145,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,21,117,61,8494648,2022-12-08
146,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,57,107,13,8491101,2022-12-08
147,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Shivers,Atlantic Records UK,4,127,65,8479071,2022-12-08
148,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2,124,72,8458037,2022-12-08
149,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28,118,31,8391113,2022-12-08
150,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,123,60,8355644,2022-12-08
151,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,8,172,52,8355275,2022-12-08
152,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,114,160,8345846,2022-12-08
153,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,Lizzo,About Damn Time,Nice Life/Atlantic,9,122,32,8309845,2022-12-08
154,spotify:track:2rurDawMfoKP4uHyb2kJBt,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,13,126,33,8280005,2022-12-08
155,spotify:track:7MkylDYvKTSuWgrsBhHlsG,"Bizarrap, Duki","Duki: Bzrp Music Sessions, Vol. 50",DALE PLAY Records,17,61,3,8271883,2022-12-08
156,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,51,121,79,8234990,2022-12-08
157,spotify:track:59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,10,135,32,8219498,2022-12-08
158,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,107,132,43,8175755,2022-12-08
159,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6,140,31,8173357,2022-12-08
160,spotify:track:7H0ya83CMmgFcOhw0UB6ow,Beach House,Space Song,Apple Orchard Music,160,-1,11,8163188,2022-12-08
161,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,52,155,67,8144025,2022-12-08
162,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,122,125,15,8020678,2022-12-08
163,spotify:track:1aOl53hkZGHkl2Snhr7opL,Dean Lewis,How Do I Say Goodbye,Universal Music Australia Pty. Ltd.,86,111,10,7989632,2022-12-08
164,spotify:track:0YWUHZPJVg4iujddsJDwhM,Britney Spears,My Only Wish (This Year),Jive,64,-1,16,7920450,2022-12-08
165,spotify:track:5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,74,141,23,7903123,2022-12-08
166,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16,130,305,7881204,2022-12-08
167,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,63,139,20,7880936,2022-12-08
168,spotify:track:3tAQNhm1o0kzldsI5QkrB1,Aerosmith,Dream On,Aerosmith P&D - Sony,104,113,5,7875315,2022-12-08
169,spotify:track:1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,UMLE - Latino,33,131,15,7850201,2022-12-08
170,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Mavin Records/Jonzing World,119,162,22,7847107,2022-12-08
171,spotify:track:1797zYiX4cKosMH836X9Gt,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,17,156,31,7846018,2022-12-08
172,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,170,78,7837815,2022-12-08
173,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,131,154,21,7814513,2022-12-08
174,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,108,151,28,7806482,2022-12-08
175,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,158,158,4,7755269,2022-12-08
176,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,63,143,41,7751342,2022-12-08
