rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
181,spotify:track:4MdcsdRj7i8eBm0qFjO4L4,Selena Gomez,Feel Me,Interscope Records,42,127,5,4765672,2020-03-26
182,spotify:track:2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,2018,27,199,62,4721858,2020-03-26
183,spotify:track:4n0Ke1KJsPHvd7xRoU29E2,"Dardan, Monet192",H <3 T E L,Hypnotize Entertainment,183,-1,1,4701388,2020-03-26
184,spotify:track:4NqQaovM14WR2hNPMFxgjb,Bad Bunny,25/8,Rimas Entertainment LLC,63,106,4,4684378,2020-03-26
185,spotify:track:0uI7yAKUf52Cn7y3sYyjiX,Dominic Fike,3 Nights,Columbia,51,-1,46,4676852,2020-03-26
186,spotify:track:5m3jpKkgkfoMcym1qjToFg,"Alex Rose, Rafa Pabön",Jangueo,Los Oidos Fresh/ Los Proximos,175,175,2,4672242,2020-03-26
187,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,29,185,145,4654535,2020-03-26
188,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,If I Can't Have You,Island Records,4,-1,43,4652099,2020-03-26
189,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,Generation Now/Atlantic,10,148,114,4639102,2020-03-26
190,spotify:track:3g0mEQx3NTanacLseoP0Gw,"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway,Disruptor Records/Columbia,28,-1,31,4619049,2020-03-26
191,spotify:track:5Xitt5a5uLQ1QtYdFxmi9e,Christian Nodal,Se Me Olvidó,Universal Music Mexico,81,129,3,4591194,2020-03-26
192,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,8,-1,98,4565132,2020-03-26
193,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",Republic Records,1,189,73,4563361,2020-03-26
194,spotify:track:5qrSlOut2rNAWv3ubArkNy,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,12,-1,84,4561645,2020-03-26
195,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,DCD2 / Fueled By Ramen,9,-1,88,4557820,2020-03-26
196,spotify:track:63wx9vdskaXbYxyDx4oJCZ,"Jhené Aiko, H.E.R.",B.S. (feat. H.E.R.),Def Jam Recordings,130,157,3,4557817,2020-03-26
197,spotify:track:7sOfmPd18RWp3FoCzpa7Kw,Bad Bunny,Soliá,Rimas Entertainment LLC,45,111,4,4516243,2020-03-26
198,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,2,195,95,4515388,2020-03-26
199,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",9,-1,66,4507185,2020-03-26
200,spotify:track:4saHEjXw7O1NXJOzBkUKKG,"Bad Bunny, Anuel AA",Está Cabrón Ser Yo,Rimas Entertainment LLC,55,118,4,4438261,2020-03-26
